Title,Release,Geek_Rating,Num_Voters,Community_Players,Best_Players,Playing _Time,Link
The Gallerist,2015,7.676,14647,1~4,3~4,60~150,https://boardgamegeek.com/boardgame/125153/the-gallerist
Star Wars: Imperial Assault,2014,7.673,24665,2~5,2,60~120,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault
Oathsworn: Into the Deepwood,2022,7.672,4765,1~4,2,30~90,https://boardgamegeek.com/boardgame/251661/oathsworn-into-the-deepwood
Mechs vs. Minions,2016,7.661,17467,2~4,4,60~120,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions
The Crew: The Quest for Planet Nine,2019,7.660,41738,3~5,4,20,https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine
Android: Netrunner,2012,7.659,30146,2,2,45,https://boardgamegeek.com/boardgame/124742/android-netrunner
Hegemony: Lead Your Class to Victory,2023,7.655,6470,2~4,4,90~180,https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-to-victory
Kingdom Death: Monster,2015,7.653,9670,1~4,4,60~180,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster
Agricola (Revised Edition),2016,7.640,17917,1~4,3~4,30~120,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition
Azul,2017,7.637,90762,2~4,2,30~45,https://boardgamegeek.com/boardgame/230802/azul
Race for the Galaxy,2007,7.631,55576,2~4,2,30~60,https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy
Five Tribes: The Djinns of Naqala,2014,7.623,41543,2~4,2,40~80,https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala
Eclipse: New Dawn for the Galaxy,2011,7.617,28403,2~6,4,60~180,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-for-the-galaxy
Clank!: A Deck-Building Adventure,2016,7.615,42384,2~4,3,30~60,https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure
Aeon's End,2016,7.614,20726,1~4,2,60,https://boardgamegeek.com/boardgame/191189/aeons-end
Fields of Arle,2014,7.602,11037,1~2,2,60~120,https://boardgamegeek.com/boardgame/159675/fields-of-arle
Beyond the Sun,2020,7.598,14580,2~4,3,60~120,https://boardgamegeek.com/boardgame/317985/beyond-the-sun
Teotihuacan: City of Gods,2018,7.597,19968,1~4,4,90~120,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods
Lords of Waterdeep,2012,7.592,55653,2~5,3~4,60~120,https://boardgamegeek.com/boardgame/110327/lords-of-waterdeep
Through the Ages: A Story of Civilization,2006,7.592,19387,2~4,3,120,https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization
Dominant Species,2010,7.579,21273,3~6,4,120~240,https://boardgamegeek.com/boardgame/62219/dominant-species
El Grande,1995,7.577,29037,3~5,5,60~120,https://boardgamegeek.com/boardgame/93/el-grande
The Voyages of Marco Polo,2015,7.575,24910,2~4,4,40~100,https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo
Robinson Crusoe: Adventures on the Cursed Island,2012,7.573,43503,1~4,1~2,60~120,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island
7 Wonders,2010,7.573,104803,3~7,4~5,30,https://boardgamegeek.com/boardgame/68448/7-wonders
Dune: Imperium – Uprising,2023,7.568,4372,"1~4, 6",4,60~120,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising
The Search for Planet X,2020,7.567,12322,1~4,2~3,60~75,https://boardgamegeek.com/boardgame/279537/the-search-for-planet-x
Sky Team,2023,7.552,7464,2,2,15,https://boardgamegeek.com/boardgame/373106/sky-team
Concordia Venus,2018,7.551,5901,2~6,4,60~120,https://boardgamegeek.com/boardgame/256916/concordia-venus
Tainted Grail: The Fall of Avalon,2019,7.549,12470,1~3,1~2,60~120,https://boardgamegeek.com/boardgame/264220/tainted-grail-the-fall-of-avalon
Decrypto,2018,7.542,22692,4~8,4,15~45,https://boardgamegeek.com/boardgame/225694/decrypto
Inis,2016,7.541,20261,2~4,4,60~90,https://boardgamegeek.com/boardgame/155821/inis
Battlestar Galactica: The Board Game,2008,7.539,36543,4~6,5,120~180,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-the-board-game
Architects of the West Kingdom,2018,7.538,29182,1~5,4,60~80,https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom
Trickerion: Legends of Illusion,2015,7.536,10976,2~4,4,60~180,https://boardgamegeek.com/boardgame/163068/trickerion-legends-of-illusion
Age of Innovation,2023,7.535,3885,1~5,4,40~200,https://boardgamegeek.com/boardgame/383179/age-of-innovation
Carnegie,2022,7.526,9217,1~4,4,90~120,https://boardgamegeek.com/boardgame/310873/carnegie
Keyflower,2012,7.524,23176,2~6,4,90~120,https://boardgamegeek.com/boardgame/122515/keyflower
Revive,2022,7.524,7250,1~4,3,90~120,https://boardgamegeek.com/boardgame/332772/revive
Raiders of the North Sea,2015,7.522,24187,2~4,3,60~80,https://boardgamegeek.com/boardgame/170042/raiders-of-the-north-sea
Tigris & Euphrates,1997,7.518,28735,2~4,4,60~120,https://boardgamegeek.com/boardgame/42/tigris-and-euphrates
SCOUT,2019,7.518,15492,3~5,4,15,https://boardgamegeek.com/boardgame/291453/scout
Caylus,2005,7.517,29186,2~5,3,60~150,https://boardgamegeek.com/boardgame/18602/caylus
Wingspan Asia,2022,7.516,5947,1~2+,2,40~70,https://boardgamegeek.com/boardgame/366161/wingspan-asia
Dominion: Intrigue,2009,7.516,33707,2~4,3,30,https://boardgamegeek.com/boardgame/40834/dominion-intrigue
Lorenzo il Magnifico,2016,7.515,13886,2~4,3~4,60~120,https://boardgamegeek.com/boardgame/203993/lorenzo-il-magnifico
Eldritch Horror,2013,7.512,36549,1~6,4,120~240,https://boardgamegeek.com/boardgame/146021/eldritch-horror
Troyes,2010,7.511,23571,2~4,3,90,https://boardgamegeek.com/boardgame/73439/troyes
Dwellings of Eldervale,2020,7.511,7235,1~5,3,60~150,https://boardgamegeek.com/boardgame/271055/dwellings-of-eldervale
Mombasa,2015,7.510,13286,2~4,4,75~150,https://boardgamegeek.com/boardgame/172386/mombasa
The Lord of the Rings: Journeys in Middle-Earth,2019,7.507,16388,1~4,2,60~120,https://boardgamegeek.com/boardgame/269385/the-lord-of-the-rings-journeys-in-middle-earth
The 7th Continent,2017,7.506,22286,1~3,1~2,5~1000,https://boardgamegeek.com/boardgame/180263/the-7th-continent
Clank!: Catacombs,2022,7.503,5919,2~4,3,45~90,https://boardgamegeek.com/boardgame/365717/clank-catacombs
Twilight Imperium: Third Edition,2005,7.496,19288,4~6,6,180~240,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition
The Quest for El Dorado,2017,7.492,25798,2~4,2,30~60,https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado
Splendor Duel,2022,7.490,11016,2,2,30,https://boardgamegeek.com/boardgame/364073/splendor-duel
Darwin's Journey,2023,7.489,6516,1~4,3,60~120,https://boardgamegeek.com/boardgame/322289/darwins-journey
Patchwork,2014,7.488,66197,2,2,15~30,https://boardgamegeek.com/boardgame/163412/patchwork
Russian Railroads,2013,7.488,18015,2~4,4,120,https://boardgamegeek.com/boardgame/144733/russian-railroads
Trajan,2011,7.486,17774,2~4,4,60~120,https://boardgamegeek.com/boardgame/102680/trajan
Final Girl,2021,7.486,6411,1,1,20~60,https://boardgamegeek.com/boardgame/277659/final-girl
Dominion,2008,7.481,91118,2~4,3,30,https://boardgamegeek.com/boardgame/36218/dominion
Rising Sun,2018,7.476,21326,3~5+,4~5,90~120,https://boardgamegeek.com/boardgame/205896/rising-sun
Age of Steam,2002,7.474,11344,3~6,4,120,https://boardgamegeek.com/boardgame/4098/age-of-steam
Hansa Teutonica,2009,7.468,15678,3~5,5,45~90,https://boardgamegeek.com/boardgame/43015/hansa-teutonica
Ra,1999,7.468,26188,2~5,3~4,45~60,https://boardgamegeek.com/boardgame/12/ra
Vinhos: Deluxe Edition,2016,7.466,6915,1~4,4,60~135,https://boardgamegeek.com/boardgame/175640/vinhos-deluxe-edition
Aeon's End: War Eternal,2017,7.464,5715,1~4,2,60,https://boardgamegeek.com/boardgame/218417/aeons-end-war-eternal
Clank! In! Space!: A Deck-Building Adventure,2017,7.459,14474,2~4,3,45~90,https://boardgamegeek.com/boardgame/233371/clank-in-space-a-deck-building-adventure
Iberia,2016,7.455,10853,1~5,4,45,https://boardgamegeek.com/boardgame/198928/iberia
Forbidden Stars,2015,7.450,9286,2~4,3,120~180,https://boardgamegeek.com/boardgame/175155/forbidden-stars
Nemesis: Lockdown,2022,7.449,5704,1~5,4,90~180,https://boardgamegeek.com/boardgame/310100/nemesis-lockdown
Codenames,2015,7.448,92255,4~8+,6,15,https://boardgamegeek.com/boardgame/178900/codenames
Champions of Midgard,2015,7.445,17541,2~4,4,60~90,https://boardgamegeek.com/boardgame/172287/champions-of-midgard
Yokohama,2016,7.441,11653,2~4,3,90,https://boardgamegeek.com/boardgame/196340/yokohama
The Isle of Cats,2019,7.440,21759,1~4,3,60~90,https://boardgamegeek.com/boardgame/281259/the-isle-of-cats
PARKS,2019,7.438,25564,1~4,3,30~60,https://boardgamegeek.com/boardgame/266524/parks
Roll for the Galaxy,2014,7.436,31880,2~5,3~4,45,https://boardgamegeek.com/boardgame/132531/roll-for-the-galaxy
Just One,2018,7.434,27841,4~7+,6~7,20~60,https://boardgamegeek.com/boardgame/254640/just-one
Pandemic,2008,7.429,125795,1~4,4,45,https://boardgamegeek.com/boardgame/30549/pandemic
Cartographers,2019,7.425,29635,1~9,3~4,30~45,https://boardgamegeek.com/boardgame/263918/cartographers
Targi,2012,7.424,23734,2,2,60,https://boardgamegeek.com/boardgame/118048/targi
Res Arcana,2019,7.423,22199,2~4,2,30~60,https://boardgamegeek.com/boardgame/262712/res-arcana
Rajas of the Ganges,2017,7.421,14264,2~4,4,45~75,https://boardgamegeek.com/boardgame/220877/rajas-of-the-ganges
Wonderland's War,2022,7.420,6871,2~5,4,45~125,https://boardgamegeek.com/boardgame/227935/wonderlands-war
The White Castle,2023,7.418,8385,1~4,3,80,https://boardgamegeek.com/boardgame/371942/the-white-castle
Alchemists,2014,7.417,22879,2~4,4,120,https://boardgamegeek.com/boardgame/161970/alchemists
Star Realms,2014,7.417,44853,2,2,20,https://boardgamegeek.com/boardgame/147020/star-realms
Hadrian's Wall,2021,7.417,8144,1~3,1,30~60,https://boardgamegeek.com/boardgame/304783/hadrians-wall
Watergate,2019,7.414,11979,2,2,30~60,https://boardgamegeek.com/boardgame/274364/watergate
It's a Wonderful World,2019,7.412,19021,1~5,4,45,https://boardgamegeek.com/boardgame/271324/its-a-wonderful-world
Praga Caput Regni,2020,7.410,8800,1~4,3,45~150,https://boardgamegeek.com/boardgame/308765/praga-caput-regni
Kemet,2012,7.405,19252,3~5,4~5,90~120,https://boardgamegeek.com/boardgame/127023/kemet
Ticket to Ride: Europe,2005,7.404,76689,2~5,4,30~60,https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe
Tyrants of the Underdark,2016,7.403,9164,2~4,4,60,https://boardgamegeek.com/boardgame/189932/tyrants-of-the-underdark
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.401,21435,1~4,2,60~120,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-the-thames-mu
Stone Age,2008,7.400,52872,2~4,4,60~90,https://boardgamegeek.com/boardgame/34635/stone-age
Magic: The Gathering,1993,7.399,39863,2+,2,20,https://boardgamegeek.com/boardgame/463/magic-the-gathering
Undaunted: Normandy,2019,7.399,11775,2,2,45~60,https://boardgamegeek.com/boardgame/268864/undaunted-normandy
Endeavor: Age of Sail,2018,7.398,9410,2~5,4,60~90,https://boardgamegeek.com/boardgame/233398/endeavor-age-of-sail
Terraforming Mars: Ares Expedition,2021,7.398,17396,1~4,3,45~60,https://boardgamegeek.com/boardgame/328871/terraforming-mars-ares-expedition
The Lord of the Rings: The Card Game,2011,7.398,24209,1~2+,2,30~60,https://boardgamegeek.com/boardgame/77423/the-lord-of-the-rings-the-card-game
Legendary Encounters: An Alien Deck Building Game,2014,7.394,13205,1~4,3,30~60,https://boardgamegeek.com/boardgame/146652/legendary-encounters-an-alien-deck-building-game
Blood on the Clocktower,2022,7.392,5520,7~16,9~12,30~120,https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower
Viscounts of the West Kingdom,2020,7.389,9698,1~4,3,60~90,https://boardgamegeek.com/boardgame/296151/viscounts-of-the-west-kingdom
Star Wars: X-Wing Miniatures Game,2012,7.387,25023,2+,2,30~45,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game
Marco Polo II: In the Service of the Khan,2019,7.387,7284,2~4,3,60~120,https://boardgamegeek.com/boardgame/283948/marco-polo-ii-in-the-service-of-the-khan
Glen More II: Chronicles,2019,7.386,8256,2~4,3,90~120,https://boardgamegeek.com/boardgame/265188/glen-more-ii-chronicles
Istanbul,2014,7.386,31426,2~5,4,40~60,https://boardgamegeek.com/boardgame/148949/istanbul
War Chest,2018,7.383,10098,"2, 4",2,30,https://boardgamegeek.com/boardgame/249259/war-chest
That's Pretty Clever!,2018,7.383,24538,1~4,2,30,https://boardgamegeek.com/boardgame/244522/thats-pretty-clever
Xia: Legends of a Drift System,2014,7.380,10044,2~4,3,60~180,https://boardgamegeek.com/boardgame/82222/xia-legends-of-a-drift-system
Dominion (Second Edition),2016,7.379,10175,2~4,2~3,30,https://boardgamegeek.com/boardgame/209418/dominion-second-edition
Radlands,2021,7.379,10444,2,2,20~40,https://boardgamegeek.com/boardgame/329082/radlands
Welcome To...,2018,7.378,31025,1~11,3~4,25,https://boardgamegeek.com/boardgame/233867/welcome-to
Too Many Bones: Undertow,2018,7.375,3343,1~2+,2,60~180,https://boardgamegeek.com/boardgame/235802/too-many-bones-undertow
Unmatched: Cobble & Fog,2020,7.373,7565,"2, 4",2,20~40,https://boardgamegeek.com/boardgame/294484/unmatched-cobble-and-fog
Jaipur,2009,7.372,51775,2,2,30,https://boardgamegeek.com/boardgame/54043/jaipur
Great Western Trail: New Zealand,2023,7.369,3274,1~4,3,75~150,https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand
Voidfall,2023,7.362,3667,1~4,3,90~240,https://boardgamegeek.com/boardgame/337627/voidfall
Chaos in the Old World,2009,7.360,15656,3~4,4,60~120,https://boardgamegeek.com/boardgame/43111/chaos-in-the-old-world
War of the Ring,2004,7.360,10702,"2, 4",2,120,https://boardgamegeek.com/boardgame/9609/war-of-the-ring
Earth,2023,7.359,14289,1~4,2~3,45~90,https://boardgamegeek.com/boardgame/350184/earth
This War of Mine: The Board Game,2017,7.353,13176,1~3,1,45~120,https://boardgamegeek.com/boardgame/188920/this-war-of-mine-the-board-game
ISS Vanguard,2022,7.350,4357,1~4,1~2,90~120,https://boardgamegeek.com/boardgame/325494/iss-vanguard
Dune,2019,7.347,8791,5~6,6,120~180,https://boardgamegeek.com/boardgame/283355/dune
Planet Unknown,2022,7.346,8744,1~6,4,60~80,https://boardgamegeek.com/boardgame/258779/planet-unknown
Welcome to the Moon,2021,7.345,6607,1~6,1~4,25~30,https://boardgamegeek.com/boardgame/339789/welcome-to-the-moon
Descent: Journeys in the Dark (Second Edition),2012,7.345,25316,2~5,5,120,https://boardgamegeek.com/boardgame/104162/descent-journeys-in-the-dark-second-edition
Memoir '44,2004,7.344,30240,2,2,30~60,https://boardgamegeek.com/boardgame/10630/memoir-44
Cosmic Encounter,2008,7.339,33003,4~5+,5,60~120,https://boardgamegeek.com/boardgame/39463/cosmic-encounter
The Red Cathedral,2020,7.338,12219,1~4,3,80,https://boardgamegeek.com/boardgame/227224/the-red-cathedral
Sekigahara: The Unification of Japan,2011,7.338,5978,2,2,180,https://boardgamegeek.com/boardgame/25021/sekigahara-the-unification-of-japan
Star Wars: Outer Rim,2019,7.338,12613,1~4,3,120~180,https://boardgamegeek.com/boardgame/271896/star-wars-outer-rim
Azul: Summer Pavilion,2019,7.336,15846,2~4,2~3,30~45,https://boardgamegeek.com/boardgame/287954/azul-summer-pavilion
Castles of Mad King Ludwig,2014,7.335,25857,2~4,4,90,https://boardgamegeek.com/boardgame/155426/castles-of-mad-king-ludwig
Sagrada,2017,7.335,41540,1~4,2,30~45,https://boardgamegeek.com/boardgame/199561/sagrada
Horrified,2019,7.333,16614,1~5,3,60,https://boardgamegeek.com/boardgame/282524/horrified
Meadow,2021,7.330,10563,1~4,2,60~90,https://boardgamegeek.com/boardgame/314491/meadow
The Resistance: Avalon,2012,7.329,33696,5~10,7~8,30,https://boardgamegeek.com/boardgame/128882/the-resistance-avalon
Railways of the World,2005,7.329,12266,3~6,5,120,https://boardgamegeek.com/boardgame/17133/railways-of-the-world
Space Base,2018,7.320,19266,2~5,3~4,60,https://boardgamegeek.com/boardgame/242302/space-base
Ora et Labora,2011,7.320,11009,1~4,3,60~180,https://boardgamegeek.com/boardgame/70149/ora-et-labora
Ticket to Ride: Nordic Countries,2007,7.320,14128,2~3,3,30~60,https://boardgamegeek.com/boardgame/31627/ticket-to-ride-nordic-countries
A Game of Thrones: The Board Game (Second Edition),2011,7.319,34660,4~6,6,120~240,https://boardgamegeek.com/boardgame/103343/a-game-of-thrones-the-board-game-second-edition
Modern Art,1992,7.316,22577,3~5,4~5,45,https://boardgamegeek.com/boardgame/118/modern-art
Go,2200,7.314,17299,2,2,30~180,https://boardgamegeek.com/boardgame/188/go
Commands & Colors: Ancients,2006,7.310,8819,2,2,60,https://boardgamegeek.com/boardgame/14105/commands-and-colors-ancients
Paleo,2020,7.310,12405,1~4,2~3,45~60,https://boardgamegeek.com/boardgame/300531/paleo
Captain Sonar,2016,7.308,21523,6~8,8,45~60,https://boardgamegeek.com/boardgame/171131/captain-sonar
Great Western Trail: Argentina,2022,7.308,3737,1~4,3,75~150,https://boardgamegeek.com/boardgame/364011/great-western-trail-argentina
Suburbia,2012,7.306,25276,1~4,3,60~90,https://boardgamegeek.com/boardgame/123260/suburbia
Dead of Winter: A Crossroads Game,2014,7.304,46454,3~5,4,60~120,https://boardgamegeek.com/boardgame/150376/dead-of-winter-a-crossroads-game
Village,2011,7.303,23348,2~4,4,60~90,https://boardgamegeek.com/boardgame/104006/village
Ankh: Gods of Egypt,2021,7.299,9354,2~5,2,90,https://boardgamegeek.com/boardgame/285967/ankh-gods-of-egypt
Splendor,2014,7.298,80677,2~4,3,30,https://boardgamegeek.com/boardgame/148228/splendor
Carcassonne,2000,7.296,127296,2~5,2,30~45,https://boardgamegeek.com/boardgame/822/carcassonne
Ticket to Ride Legacy: Legends of the West,2023,7.295,2719,2~5,4,20~90,https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west
Tichu,1991,7.292,15579,4,4,60,https://boardgamegeek.com/boardgame/215/tichu
Nidavellir,2020,7.291,13600,2~5,3,45,https://boardgamegeek.com/boardgame/293014/nidavellir
Star Realms: Colony Wars,2015,7.286,8181,2+,2,20,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars
Under Falling Skies,2020,7.283,11393,1,1,20~40,https://boardgamegeek.com/boardgame/306735/under-falling-skies
Coimbra,2018,7.282,11958,2~4,3,60~90,https://boardgamegeek.com/boardgame/245638/coimbra
Paths of Glory,1999,7.280,5250,2,2,480,https://boardgamegeek.com/boardgame/91/paths-of-glory
Near and Far,2017,7.280,10428,2~4,3,90~120,https://boardgamegeek.com/boardgame/195421/near-and-far
Nations,2013,7.279,12302,1~5,3~4,40~200,https://boardgamegeek.com/boardgame/126042/nations
7 Wonders (Second Edition),2020,7.279,7857,3~7,4~5,30,https://boardgamegeek.com/boardgame/316377/7-wonders-second-edition
Calico,2020,7.278,18943,1~4,2,30~45,https://boardgamegeek.com/boardgame/283155/calico
